filename,width,height,class,xmin,ymin,xmax,ymax
licence.25356104-0b2e-11ec-9b7c-acde48001122.jpg,400,240,licence,148,143,208,162
licence.25393086-0b2e-11ec-9b7c-acde48001122.jpg,400,332,licence,143,183,263,211
licence.2539f494-0b2e-11ec-9b7c-acde48001122.jpg,400,225,licence,89,111,290,164
licence.25381d04-0b2e-11ec-9b7c-acde48001122.jpg,400,268,licence,147,112,248,163
licence.2537b026-0b2e-11ec-9b7c-acde48001122.jpg,768,575,licence,159,255,607,364
licence.25394a12-0b2e-11ec-9b7c-acde48001122.jpg,400,141,licence,115,78,281,121
licence.25394e7c-0b2e-11ec-9b7c-acde48001122.jpg,442,333,licence,163,222,277,250
licence.2531efb0-0b2e-11ec-9b7c-acde48001122.jpg,400,353,licence,188,192,362,252
licence.253a3918-0b2e-11ec-9b7c-acde48001122.jpg,400,300,licence,153,108,243,158
licence.25397f46-0b2e-11ec-9b7c-acde48001122.jpg,400,225,licence,92,111,289,166
licence.25377b9c-0b2e-11ec-9b7c-acde48001122.jpg,400,300,licence,193,141,258,174
licence.253965b0-0b2e-11ec-9b7c-acde48001122.jpg,600,425,licence,535,361,600,387
licence.25341880-0b2e-11ec-9b7c-acde48001122.jpg,400,300,licence,149,66,258,122
licence.253960ce-0b2e-11ec-9b7c-acde48001122.jpg,400,221,licence,35,176,60,187
licence.2537581a-0b2e-11ec-9b7c-acde48001122.jpg,400,248,licence,134,126,263,162
licence.25380706-0b2e-11ec-9b7c-acde48001122.jpg,590,350,licence,88,53,541,250
licence.25395304-0b2e-11ec-9b7c-acde48001122.jpg,500,232,licence,205,105,310,137
licence.2533119c-0b2e-11ec-9b7c-acde48001122.jpg,400,251,licence,207,103,286,173
licence.2531d4da-0b2e-11ec-9b7c-acde48001122.jpg,400,288,licence,143,186,261,220
licence.2539456c-0b2e-11ec-9b7c-acde48001122.jpg,400,225,licence,20,3,333,166
licence.2537dc22-0b2e-11ec-9b7c-acde48001122.jpg,500,375,licence,200,187,292,235
licence.2535448a-0b2e-11ec-9b7c-acde48001122.jpg,431,242,licence,268,160,324,193
licence.25390336-0b2e-11ec-9b7c-acde48001122.jpg,400,279,licence,168,137,207,153
licence.25393bd0-0b2e-11ec-9b7c-acde48001122.jpg,400,300,licence,222,175,328,219
licence.25335986-0b2e-11ec-9b7c-acde48001122.jpg,301,400,licence,98,177,160,208
licence.2536cd1e-0b2e-11ec-9b7c-acde48001122.jpg,500,268,licence,224,123,423,169
licence.25395c3c-0b2e-11ec-9b7c-acde48001122.jpg,400,267,licence,303,184,350,205
licence.25347366-0b2e-11ec-9b7c-acde48001122.jpg,400,192,licence,49,80,344,151
licence.2539f944-0b2e-11ec-9b7c-acde48001122.jpg,400,300,licence,49,96,368,176
licence.25352694-0b2e-11ec-9b7c-acde48001122.jpg,471,270,licence,143,110,320,162
licence.2537f1c6-0b2e-11ec-9b7c-acde48001122.jpg,400,295,licence,216,216,249,241
licence.2532f2a2-0b2e-11ec-9b7c-acde48001122.jpg,400,266,licence,263,141,319,158
licence.25391a06-0b2e-11ec-9b7c-acde48001122.jpg,400,244,licence,16,133,43,152
licence.253a2978-0b2e-11ec-9b7c-acde48001122.jpg,400,253,licence,265,165,318,194
licence.2539e134-0b2e-11ec-9b7c-acde48001122.jpg,400,300,licence,319,155,375,180
licence.2537c61a-0b2e-11ec-9b7c-acde48001122.jpg,400,299,licence,206,100,266,118
